order_id,customer_lat,customer_lon,distance,order_weight,traffic_delay,temperature,weather_impact,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,traffic_condition_High,traffic_condition_Low,traffic_condition_Medium,weather_condition_Clear,weather_condition_Foggy,weather_condition_Hazy,weather_condition_Rainy
1,28.644082,77.187062,7.2,2.19,10,21,0,True,False,False,False,False,True,True,False,False,False
2,28.619853,77.059329,5.49,5.06,10,40,15,True,False,False,False,False,True,False,False,False,True
3,28.695804,77.273361,3.19,8.52,30,11,0,False,True,False,True,False,False,True,False,False,False
4,28.662849,77.057782,4.0,3.54,10,42,15,True,False,False,False,False,True,False,False,False,True
5,28.556917,77.137766,3.91,5.76,5,6,20,False,False,True,False,True,False,False,True,False,False
6,28.554822,77.163975,1.54,6.56,5,23,0,True,False,False,False,True,False,True,False,False,False
7,28.529601,77.293148,3.57,8.96,5,10,0,True,False,False,False,True,False,True,False,False,False
8,28.694758,77.229603,5.87,8.42,10,32,0,True,False,False,False,False,True,True,False,False,False
9,28.540133,77.102994,3.58,1.62,5,6,15,True,False,False,False,True,False,False,False,False,True
10,28.636491,77.200164,2.43,5.58,5,32,5,False,False,True,False,True,False,False,False,True,False
11,28.668386,77.174981,3.6,8.87,5,30,0,False,False,True,False,True,False,True,False,False,False
12,28.523144,77.045492,4.13,8.93,5,29,0,True,False,False,False,True,False,True,False,False,False
13,28.524561,77.030842,5.57,6.85,5,10,0,True,False,False,False,True,False,True,False,False,False
14,28.684172,77.080967,6.97,8.73,10,20,20,False,False,True,False,False,True,False,True,False,False
15,28.653143,77.239468,6.43,9.97,10,5,0,False,True,False,False,True,False,True,False,False,False
16,28.539534,77.269412,6.37,4.51,30,14,0,False,True,False,True,False,False,True,False,False,False
17,28.680211,77.111469,4.56,0.6,5,33,0,True,False,False,False,True,False,True,False,False,False
18,28.57851,77.272532,4.77,4.69,5,38,0,False,False,True,False,True,False,True,False,False,False
19,28.614234,77.166271,5.47,2.1,20,44,5,False,True,False,False,False,True,False,False,True,False
20,28.662248,77.28179,3.76,7.92,10,12,0,False,True,False,False,True,False,True,False,False,False
21,28.537226,77.165331,2.03,3.13,5,43,5,True,False,False,False,True,False,False,False,True,False
22,28.514549,77.172168,5.66,3.03,5,12,0,True,False,False,False,True,False,True,False,False,False
23,28.568023,77.120167,4.68,2.69,30,6,20,False,True,False,True,False,False,False,True,False,False
24,28.627131,77.238123,2.45,1.86,10,39,0,True,False,False,False,False,True,True,False,False,False
25,28.595313,77.222643,8.28,9.09,20,34,0,False,True,False,False,False,True,True,False,False,False
26,28.55169,77.227649,5.52,8.14,5,12,15,False,False,True,False,True,False,False,False,False,True
27,28.626586,77.166164,3.4,4.42,10,5,20,False,True,False,False,True,False,False,True,False,False
28,28.558762,77.081095,4.73,2.09,30,8,0,False,True,False,True,False,False,True,False,False,False
29,28.573942,77.193263,9.44,6.4,5,21,15,True,False,False,False,True,False,False,False,False,True
30,28.573313,77.145018,1.42,2.3,5,18,0,True,False,False,False,True,False,True,False,False,False
31,28.59787,77.232403,6.81,4.37,20,5,0,False,True,False,False,False,True,True,False,False,False
32,28.538531,77.226337,7.84,6.71,5,17,0,True,False,False,False,True,False,True,False,False,False
33,28.658361,77.147369,1.0,3.26,5,40,0,False,False,True,False,True,False,True,False,False,False
34,28.665546,77.069665,4.82,7.44,5,32,0,False,False,True,False,True,False,True,False,False,False
35,28.613282,77.095155,6.14,2.62,5,31,0,True,False,False,False,True,False,True,False,False,False
36,28.637944,77.082071,3.98,4.83,30,15,15,False,True,False,True,False,False,False,False,False,True
37,28.635325,77.119777,5.49,6.22,10,25,0,False,False,True,False,False,True,True,False,False,False
38,28.672743,77.173844,2.34,5.53,5,30,0,True,False,False,False,True,False,True,False,False,False
39,28.598158,77.039095,4.27,4.22,10,28,0,False,False,True,False,False,True,True,False,False,False
40,28.576194,77.028807,2.48,9.47,30,27,20,False,True,False,True,False,False,False,True,False,False
41,28.593372,77.153116,4.13,3.67,30,8,15,False,True,False,True,False,False,False,False,False,True
42,28.530869,77.089488,2.99,2.65,20,35,15,False,True,False,False,False,True,False,False,False,True
43,28.575449,77.296005,6.13,4.41,30,16,5,False,True,False,True,False,False,False,False,True,False
44,28.52898,77.079547,5.91,1.91,10,31,15,False,True,False,False,True,False,False,False,False,True
45,28.696768,77.136362,1.49,4.03,5,20,5,False,False,True,False,True,False,False,False,True,False
46,28.53916,77.136427,3.14,6.15,5,30,0,False,False,True,False,True,False,True,False,False,False
47,28.616119,77.223615,8.31,2.96,5,27,0,True,False,False,False,True,False,True,False,False,False
48,28.691543,77.153569,4.95,8.42,5,35,15,True,False,False,False,True,False,False,False,False,True
49,28.545111,77.078806,3.97,4.77,20,6,0,False,True,False,False,False,True,True,False,False,False
50,28.675462,77.137485,4.54,4.82,15,28,0,False,False,True,True,False,False,True,False,False,False
51,28.627849,77.047862,5.18,6.47,10,42,15,False,False,True,False,False,True,False,False,False,True
52,28.636717,77.229468,7.27,0.66,15,19,20,False,False,True,True,False,False,False,True,False,False
53,28.693425,77.214704,1.87,3.29,20,5,5,False,True,False,False,False,True,False,False,True,False
54,28.650779,77.147177,4.18,1.99,15,40,20,False,False,True,True,False,False,False,True,False,False
55,28.587619,77.076913,6.63,3.59,10,9,20,False,True,False,False,True,False,False,True,False,False
56,28.688414,77.16822,3.27,8.96,5,8,0,True,False,False,False,True,False,True,False,False,False
57,28.566128,77.089184,2.64,7.65,5,23,0,True,False,False,False,True,False,True,False,False,False
58,28.647539,77.190952,6.71,6.81,15,26,0,False,False,True,True,False,False,True,False,False,False
59,28.550846,77.234398,1.33,8.95,10,25,0,True,False,False,False,False,True,True,False,False,False
60,28.525967,77.202689,3.22,6.68,5,30,0,False,False,True,False,True,False,True,False,False,False
61,28.517523,77.064298,4.3,4.62,20,40,0,False,True,False,False,False,True,True,False,False,False
62,28.629987,77.158689,6.39,1.02,15,5,20,False,False,True,True,False,False,False,True,False,False
63,28.560351,77.075151,1.0,6.13,5,6,0,True,False,False,False,True,False,True,False,False,False
64,28.564044,77.30453,4.87,5.79,20,33,0,False,True,False,False,False,True,True,False,False,False
65,28.596395,77.292258,3.56,7.02,5,43,15,False,False,True,False,True,False,False,False,False,True
66,28.540578,77.22418,7.59,8.04,10,34,0,False,False,True,False,False,True,True,False,False,False
67,28.600269,77.222805,2.43,5.85,15,23,20,False,False,True,True,False,False,False,True,False,False
68,28.621232,77.135941,5.85,7.98,5,36,0,True,False,False,False,True,False,True,False,False,False
69,28.68055,77.222339,7.49,8.78,20,32,0,False,True,False,False,False,True,True,False,False,False
70,28.664463,77.282813,5.97,9.97,5,28,5,False,False,True,False,True,False,False,False,True,False
71,28.66366,77.167282,2.69,1.63,5,27,0,True,False,False,False,True,False,True,False,False,False
72,28.634096,77.110491,2.27,4.11,5,43,0,True,False,False,False,True,False,True,False,False,False
73,28.641194,77.287713,6.2,4.32,5,26,20,False,False,True,False,True,False,False,True,False,False
74,28.601149,77.269781,6.75,1.7,30,30,0,False,True,False,True,False,False,True,False,False,False
75,28.595646,77.261821,2.16,7.28,5,32,15,False,False,True,False,True,False,False,False,False,True
76,28.566163,77.264164,3.78,4.05,10,28,20,False,False,True,False,False,True,False,True,False,False
77,28.57623,77.047975,3.47,7.04,5,23,15,True,False,False,False,True,False,False,False,False,True
78,28.629088,77.211645,5.81,5.56,10,25,15,True,False,False,False,False,True,False,False,False,True
79,28.574741,77.257406,5.22,2.56,5,33,20,False,False,True,False,True,False,False,True,False,False
80,28.606285,77.288956,2.9,8.51,20,32,0,False,True,False,False,False,True,True,False,False,False
81,28.683923,77.30343,2.36,8.45,5,11,0,True,False,False,False,True,False,True,False,False,False
82,28.565539,77.071597,5.2,7.13,5,37,0,True,False,False,False,True,False,True,False,False,False
83,28.680688,77.267916,6.62,1.47,15,5,0,False,False,True,True,False,False,True,False,False,False
84,28.644111,77.144382,2.16,9.85,15,32,15,False,False,True,True,False,False,False,False,False,True
85,28.620873,77.092208,2.45,1.36,10,27,0,True,False,False,False,False,True,True,False,False,False
86,28.643472,77.193373,7.29,9.57,10,11,0,True,False,False,False,False,True,True,False,False,False
87,28.565922,77.290899,3.87,0.58,5,31,0,True,False,False,False,True,False,True,False,False,False
88,28.587985,77.1726,4.76,8.07,10,36,15,True,False,False,False,False,True,False,False,False,True
89,28.544603,77.23831,3.52,6.02,5,16,0,True,False,False,False,True,False,True,False,False,False
90,28.595657,77.217288,2.21,9.89,20,10,0,False,True,False,False,False,True,True,False,False,False
91,28.552966,77.14146,6.85,8.18,10,41,0,False,True,False,False,True,False,True,False,False,False
92,28.566351,77.202443,6.7,2.29,5,25,0,True,False,False,False,True,False,True,False,False,False
93,28.626122,77.131774,3.28,2.32,10,24,15,False,True,False,False,True,False,False,False,False,True
94,28.561381,77.057569,5.95,1.54,20,28,15,False,True,False,False,False,True,False,False,False,True
95,28.629093,77.279383,9.45,4.16,5,19,5,False,False,True,False,True,False,False,False,True,False
96,28.641156,77.071202,4.5,8.67,5,20,0,True,False,False,False,True,False,True,False,False,False
97,28.574913,77.303039,5.84,8.42,20,36,0,False,True,False,False,False,True,True,False,False,False
98,28.703817,77.232993,5.82,6.46,15,40,0,False,False,True,True,False,False,True,False,False,False
99,28.552087,77.238688,4.2,8.0,5,38,0,True,False,False,False,True,False,True,False,False,False
