order_id,time_of_day,traffic_condition,traffic_delay
1,Afternoon,Medium,10
2,Afternoon,Medium,10
3,Evening,High,30
4,Afternoon,Medium,10
5,Morning,Low,5
6,Afternoon,Low,5
7,Afternoon,Low,5
8,Afternoon,Medium,10
9,Afternoon,Low,5
10,Morning,Low,5
11,Morning,Low,5
12,Afternoon,Low,5
13,Afternoon,Low,5
14,Morning,Medium,10
15,Evening,Low,10
16,Evening,High,30
17,Afternoon,Low,5
18,Morning,Low,5
19,Evening,Medium,20
20,Evening,Low,10
21,Afternoon,Low,5
22,Afternoon,Low,5
23,Evening,High,30
24,Afternoon,Medium,10
25,Evening,Medium,20
26,Morning,Low,5
27,Evening,Low,10
28,Evening,High,30
29,Afternoon,Low,5
30,Afternoon,Low,5
31,Evening,Medium,20
32,Afternoon,Low,5
33,Morning,Low,5
34,Morning,Low,5
35,Afternoon,Low,5
36,Evening,High,30
37,Morning,Medium,10
38,Afternoon,Low,5
39,Morning,Medium,10
40,Evening,High,30
41,Evening,High,30
42,Evening,Medium,20
43,Evening,High,30
44,Evening,Low,10
45,Morning,Low,5
46,Morning,Low,5
47,Afternoon,Low,5
48,Afternoon,Low,5
49,Evening,Medium,20
50,Morning,High,15
51,Morning,Medium,10
52,Morning,High,15
53,Evening,Medium,20
54,Morning,High,15
55,Evening,Low,10
56,Afternoon,Low,5
57,Afternoon,Low,5
58,Morning,High,15
59,Afternoon,Medium,10
60,Morning,Low,5
61,Evening,Medium,20
62,Morning,High,15
63,Afternoon,Low,5
64,Evening,Medium,20
65,Morning,Low,5
66,Morning,Medium,10
67,Morning,High,15
68,Afternoon,Low,5
69,Evening,Medium,20
70,Morning,Low,5
71,Afternoon,Low,5
72,Afternoon,Low,5
73,Morning,Low,5
74,Evening,High,30
75,Morning,Low,5
76,Morning,Medium,10
77,Afternoon,Low,5
78,Afternoon,Medium,10
79,Morning,Low,5
80,Evening,Medium,20
81,Afternoon,Low,5
82,Afternoon,Low,5
83,Morning,High,15
84,Morning,High,15
85,Afternoon,Medium,10
86,Afternoon,Medium,10
87,Afternoon,Low,5
88,Afternoon,Medium,10
89,Afternoon,Low,5
90,Evening,Medium,20
91,Evening,Low,10
92,Afternoon,Low,5
93,Evening,Low,10
94,Evening,Medium,20
95,Morning,Low,5
96,Afternoon,Low,5
97,Evening,Medium,20
98,Morning,High,15
99,Afternoon,Low,5
100,Morning,Low,5
101,Morning,Medium,10
102,Afternoon,Medium,10
103,Evening,High,30
104,Evening,Low,10
105,Afternoon,Low,5
106,Evening,Low,10
107,Afternoon,Medium,10
108,Afternoon,Low,5
109,Afternoon,Medium,10
110,Evening,Low,10
111,Evening,Low,10
112,Evening,Low,10
113,Morning,Medium,10
114,Morning,Medium,10
115,Afternoon,Medium,10
116,Morning,Low,5
117,Morning,Low,5
118,Evening,High,30
119,Evening,Low,10
120,Morning,High,15
121,Afternoon,Low,5
122,Afternoon,Low,5
123,Morning,Medium,10
124,Evening,Medium,20
125,Afternoon,Low,5
126,Evening,Low,10
127,Morning,High,15
128,Evening,High,30
129,Evening,High,30
130,Afternoon,Low,5
131,Morning,Medium,10
132,Evening,High,30
133,Morning,Medium,10
134,Afternoon,Low,5
135,Afternoon,Medium,10
136,Afternoon,Low,5
137,Evening,High,30
138,Evening,Low,10
139,Evening,High,30
140,Evening,High,30
141,Afternoon,Low,5
142,Evening,Medium,20
143,Evening,High,30
144,Morning,High,15
145,Evening,Low,10
146,Afternoon,Medium,10
147,Afternoon,Low,5
148,Afternoon,Low,5
149,Evening,Medium,20
150,Morning,Low,5
151,Evening,Medium,20
152,Evening,High,30
153,Evening,High,30
154,Morning,Low,5
155,Morning,Low,5
156,Afternoon,Low,5
157,Evening,Medium,20
158,Afternoon,Medium,10
159,Evening,High,30
160,Evening,Low,10
161,Morning,Medium,10
162,Evening,High,30
163,Evening,High,30
164,Morning,Medium,10
165,Evening,Medium,20
166,Morning,High,15
167,Afternoon,Medium,10
168,Morning,Medium,10
169,Afternoon,Medium,10
170,Morning,Low,5
171,Afternoon,Low,5
172,Afternoon,Low,5
173,Afternoon,Low,5
174,Morning,Medium,10
175,Afternoon,Low,5
176,Afternoon,Medium,10
177,Afternoon,Low,5
178,Afternoon,Low,5
179,Evening,High,30
180,Morning,High,15
181,Morning,Low,5
182,Afternoon,Medium,10
183,Afternoon,Medium,10
184,Evening,Low,10
185,Morning,High,15
186,Morning,High,15
187,Evening,Medium,20
188,Morning,Low,5
189,Afternoon,Low,5
190,Morning,Medium,10
191,Evening,High,30
192,Afternoon,Medium,10
193,Evening,High,30
194,Afternoon,Low,5
195,Morning,Low,5
196,Evening,Medium,20
197,Evening,Medium,20
198,Afternoon,Medium,10
199,Morning,Medium,10
200,Afternoon,Low,5
201,Evening,High,30
202,Afternoon,Medium,10
203,Afternoon,Medium,10
204,Morning,Medium,10
205,Afternoon,Low,5
206,Morning,Low,5
207,Afternoon,Medium,10
208,Afternoon,Low,5
209,Evening,High,30
210,Afternoon,Medium,10
211,Evening,Medium,20
212,Morning,Low,5
213,Evening,Medium,20
214,Morning,Low,5
215,Morning,Medium,10
216,Morning,Low,5
217,Evening,Low,10
218,Evening,Medium,20
219,Evening,Low,10
220,Morning,High,15
221,Evening,Medium,20
222,Morning,Medium,10
223,Morning,Low,5
224,Evening,High,30
225,Morning,High,15
226,Morning,Low,5
227,Afternoon,Low,5
228,Morning,Low,5
229,Afternoon,Low,5
230,Morning,High,15
231,Morning,High,15
232,Afternoon,Medium,10
233,Morning,Low,5
234,Afternoon,Low,5
235,Morning,Low,5
236,Afternoon,Medium,10
237,Morning,Low,5
238,Morning,Low,5
239,Evening,Medium,20
240,Afternoon,Medium,10
241,Morning,Low,5
242,Evening,Medium,20
243,Evening,Low,10
244,Evening,Medium,20
245,Morning,Low,5
246,Evening,Low,10
247,Afternoon,Low,5
248,Morning,Medium,10
249,Evening,Medium,20
250,Afternoon,Medium,10
251,Morning,Medium,10
252,Evening,High,30
253,Evening,Medium,20
254,Morning,Low,5
255,Evening,High,30
256,Afternoon,Low,5
257,Afternoon,Low,5
258,Afternoon,Medium,10
259,Afternoon,Low,5
260,Afternoon,Low,5
261,Morning,High,15
262,Afternoon,Medium,10
263,Afternoon,Low,5
264,Evening,Medium,20
265,Evening,Medium,20
266,Afternoon,Low,5
267,Afternoon,Low,5
268,Evening,Medium,20
269,Afternoon,Low,5
270,Afternoon,Low,5
271,Morning,Low,5
272,Morning,Low,5
273,Morning,Low,5
274,Afternoon,Low,5
275,Evening,Medium,20
276,Afternoon,Low,5
277,Afternoon,Low,5
278,Morning,Medium,10
279,Evening,Medium,20
280,Evening,High,30
281,Morning,Low,5
282,Afternoon,Low,5
283,Morning,High,15
284,Morning,High,15
285,Morning,Medium,10
286,Morning,Low,5
287,Evening,Medium,20
288,Afternoon,Low,5
289,Afternoon,Low,5
290,Morning,High,15
291,Afternoon,Medium,10
292,Evening,High,30
293,Morning,Low,5
294,Morning,Medium,10
295,Evening,Low,10
