order_id,weather_condition,temperature,weather_impact
1,Clear,21,0
2,Rainy,40,15
3,Clear,11,0
4,Rainy,42,15
5,Foggy,6,20
6,Clear,23,0
7,Clear,10,0
8,Clear,32,0
9,Rainy,6,15
10,Hazy,32,5
11,Clear,30,0
12,Clear,29,0
13,Clear,10,0
14,Foggy,20,20
15,Clear,5,0
16,Clear,14,0
17,Clear,33,0
18,Clear,38,0
19,Hazy,44,5
20,Clear,12,0
21,Hazy,43,5
22,Clear,12,0
23,Foggy,6,20
24,Clear,39,0
25,Clear,34,0
26,Rainy,12,15
27,Foggy,5,20
28,Clear,8,0
29,Rainy,21,15
30,Clear,18,0
31,Clear,5,0
32,Clear,17,0
33,Clear,40,0
34,Clear,32,0
35,Clear,31,0
36,Rainy,15,15
37,Clear,25,0
38,Clear,30,0
39,Clear,28,0
40,Foggy,27,20
41,Rainy,8,15
42,Rainy,35,15
43,Hazy,16,5
44,Rainy,31,15
45,Hazy,20,5
46,Clear,30,0
47,Clear,27,0
48,Rainy,35,15
49,Clear,6,0
50,Clear,28,0
51,Rainy,42,15
52,Foggy,19,20
53,Hazy,5,5
54,Foggy,40,20
55,Foggy,9,20
56,Clear,8,0
57,Clear,23,0
58,Clear,26,0
59,Clear,25,0
60,Clear,30,0
61,Clear,40,0
62,Foggy,5,20
63,Clear,6,0
64,Clear,33,0
65,Rainy,43,15
66,Clear,34,0
67,Foggy,23,20
68,Clear,36,0
69,Clear,32,0
70,Hazy,28,5
71,Clear,27,0
72,Clear,43,0
73,Foggy,26,20
74,Clear,30,0
75,Rainy,32,15
76,Foggy,28,20
77,Rainy,23,15
78,Rainy,25,15
79,Foggy,33,20
80,Clear,32,0
81,Clear,11,0
82,Clear,37,0
83,Clear,5,0
84,Rainy,32,15
85,Clear,27,0
86,Clear,11,0
87,Clear,31,0
88,Rainy,36,15
89,Clear,16,0
90,Clear,10,0
91,Clear,41,0
92,Clear,25,0
93,Rainy,24,15
94,Rainy,28,15
95,Hazy,19,5
96,Clear,20,0
97,Clear,36,0
98,Clear,40,0
99,Clear,38,0
100,Clear,22,0
101,Hazy,24,5
102,Clear,33,0
103,Clear,31,0
104,Clear,8,0
105,Clear,41,0
106,Clear,43,0
107,Foggy,41,20
108,Clear,13,0
109,Clear,12,0
110,Foggy,31,20
111,Clear,36,0
112,Hazy,32,5
113,Hazy,37,5
114,Clear,35,0
115,Clear,43,0
116,Clear,43,0
117,Clear,41,0
118,Clear,6,0
119,Hazy,40,5
120,Foggy,35,20
121,Rainy,33,15
122,Clear,9,0
123,Clear,22,0
124,Foggy,22,20
125,Rainy,39,15
126,Foggy,15,20
127,Clear,11,0
128,Rainy,28,15
129,Clear,13,0
130,Rainy,19,15
131,Clear,13,0
132,Hazy,35,5
133,Clear,33,0
134,Clear,27,0
135,Clear,38,0
136,Clear,24,0
137,Clear,8,0
138,Clear,9,0
139,Hazy,7,5
140,Clear,34,0
141,Clear,10,0
142,Rainy,18,15
143,Clear,15,0
144,Foggy,27,20
145,Rainy,25,15
146,Rainy,7,15
147,Foggy,6,20
148,Rainy,16,15
149,Clear,44,0
150,Foggy,18,20
151,Foggy,14,20
152,Clear,17,0
153,Foggy,32,20
154,Hazy,37,5
155,Hazy,22,5
156,Foggy,7,20
157,Clear,37,0
158,Foggy,11,20
159,Clear,6,0
160,Foggy,33,20
161,Clear,28,0
162,Clear,31,0
163,Rainy,8,15
164,Foggy,9,20
165,Clear,22,0
166,Clear,9,0
167,Clear,9,0
168,Rainy,19,15
169,Rainy,22,15
170,Clear,21,0
171,Hazy,10,5
172,Clear,32,0
173,Rainy,21,15
174,Clear,27,0
175,Clear,7,0
176,Rainy,12,15
177,Clear,16,0
178,Foggy,21,20
179,Clear,20,0
180,Clear,25,0
181,Foggy,16,20
182,Foggy,28,20
183,Rainy,10,15
184,Foggy,8,20
185,Clear,32,0
186,Clear,10,0
187,Clear,36,0
188,Foggy,35,20
189,Hazy,12,5
190,Clear,32,0
191,Clear,5,0
192,Foggy,10,20
193,Clear,11,0
194,Hazy,43,5
195,Hazy,8,5
196,Rainy,19,15
197,Clear,23,0
198,Clear,21,0
199,Clear,37,0
200,Clear,7,0
201,Clear,13,0
202,Foggy,14,20
203,Clear,25,0
204,Foggy,16,20
205,Rainy,31,15
206,Rainy,13,15
207,Foggy,28,20
208,Rainy,5,15
209,Rainy,14,15
210,Clear,31,0
211,Clear,9,0
212,Clear,17,0
213,Clear,12,0
214,Hazy,25,5
215,Rainy,24,15
216,Foggy,11,20
217,Hazy,43,5
218,Clear,35,0
